run_dir,seed,exit_code,badge_count,map_explored_pct,events_completed,highest_pokemon_level
sweeps\sweep_20260517_175436\dynamic_no_promoted_in_rank\run_000_seed0,0,0,,,,
sweeps\sweep_20260517_175436\dynamic_no_promoted_in_rank\run_001_seed1,1,0,,,,
sweeps\sweep_20260517_175436\dynamic_no_promoted_in_rank\run_002_seed2,2,0,,,,
sweeps\sweep_20260517_175436\dynamic_no_promoted_in_rank\run_003_seed3,3,0,,,,
sweeps\sweep_20260517_175436\dynamic_no_promoted_in_rank\run_004_seed4,4,3221226505,,,,
